arm,sample_id,repo_name,language,file_size_band,file_line_count,findings_total,high,medium,low,checks_failed,failed_check_ids
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00200,tokens-studio/figma-plugin,javascript,100_299,196,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00108,prebid/Prebid.js,javascript,300_999,661,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00111,CEPT-VZG/digipin,javascript,300_999,346,1,0,1,0,1,confidence_representation
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00112,prebid/Prebid.js,javascript,300_999,418,2,0,2,0,2,"background_tasks,exception_handling"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00113,prebid/Prebid.js,javascript,300_999,441,2,2,0,0,1,environment_safety
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00123,prebid/Prebid.js,javascript,300_999,518,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00125,prebid/Prebid.js,javascript,300_999,366,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00127,OHIF/Viewers,javascript,300_999,316,1,1,0,0,1,environment_safety
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00132,prebid/Prebid.js,javascript,300_999,480,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00145,siteboon/claudecodeui,javascript,300_999,962,13,7,5,1,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00149,prebid/Prebid.js,javascript,300_999,661,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00154,CEPT-VZG/digipin,javascript,300_999,331,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00156,prebid/Prebid.js,javascript,300_999,480,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00161,ruvnet/claude-flow,javascript,300_999,871,4,2,1,1,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00165,prebid/Prebid.js,javascript,300_999,740,3,0,2,1,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00175,microsoft/vscode,javascript,300_999,336,4,0,4,0,2,"background_tasks,exception_handling"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00188,zwave-js/zwave-js,javascript,300_999,755,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00198,prebid/Prebid.js,javascript,300_999,488,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00001,crewAIInc/crewAI,python,100_299,244,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00002,Kiln-AI/Kiln,python,100_299,116,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00003,Significant-Gravitas/AutoGPT,python,100_299,294,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00004,Significant-Gravitas/AutoGPT,python,100_299,116,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00005,Significant-Gravitas/AutoGPT,python,100_299,159,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00006,stanford-crfm/haliax,python,100_299,131,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00007,MontrealAI/AGI-Alpha-Agent-v0,python,100_299,102,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00008,julep-ai/julep,python,100_299,151,2,1,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00009,marin-community/marin,python,100_299,163,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00010,microsoft/magentic-ui,python,100_299,267,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00011,crewAIInc/crewAI,python,100_299,103,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00015,DannyMac180/meta-agent,python,100_299,232,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00017,crewAIInc/crewAI,python,100_299,105,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00018,skypilot-org/skypilot,python,100_299,158,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00020,OWASP/mastg,python,100_299,147,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00021,stanford-crfm/levanter,python,100_299,111,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00022,goat-sdk/goat,python,100_299,181,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00023,NewFuture/DDNS,python,100_299,129,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00024,digitaldemocracy2030/kouchou-ai,python,100_299,283,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00025,crewAIInc/crewAI-tools,python,100_299,147,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00026,DannyMac180/meta-agent,python,100_299,149,2,1,1,0,2,"environment_safety,return_contracts"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00027,getsentry/sentry,python,100_299,126,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00028,jialeicui/open-lx01,python,100_299,228,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00029,ohcnetwork/care,python,100_299,298,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00030,mrwadams/stride-gpt,python,100_299,107,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00031,PromtEngineer/localGPT,python,100_299,103,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00032,PromtEngineer/localGPT,python,100_299,175,7,1,6,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00033,crewAIInc/crewAI,python,100_299,116,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00034,crewAIInc/crewAI,python,100_299,116,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00036,DannyMac180/meta-agent,python,100_299,275,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00037,ag2ai/ag2,python,100_299,121,2,1,1,0,2,"environment_safety,exception_handling"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00038,port-labs/ocean,python,100_299,238,2,2,0,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00040,AgentOps-AI/agentops,python,100_299,290,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00041,disler/single-file-agents,python,100_299,182,1,1,0,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00042,NewFuture/DDNS,python,100_299,142,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00043,NewFuture/DDNS,python,100_299,125,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00044,marin-community/marin,python,100_299,109,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00045,cartography-cncf/cartography,python,100_299,161,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00046,crewAIInc/crewAI,python,100_299,170,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00047,digitaldemocracy2030/kouchou-ai,python,100_299,157,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00050,crewAIInc/crewAI,python,100_299,243,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00051,ag2ai/ag2,python,100_299,122,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00052,test-zeus-ai/testzeus-hercules,python,100_299,122,2,1,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00053,crewAIInc/crewAI,python,100_299,153,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00054,567-labs/instructor,python,100_299,165,0,0,0,0,0,
