arm,repo_name,scanned_files,high_total,medium_total,low_total,high_per_file,medium_per_file,low_per_file,languages_present,python_files,javascript_files,typescript_files
agent_attributed,novuhq/novu,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,numbagg/numbagg,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,ohcnetwork/care,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,onlook-dev/onlook,4,3,2,0,0.75,0.5,0.0,typescript,0,0,4
agent_attributed,oven-sh/bun,2,0,1,7,0.0,0.5,3.5,typescript,0,0,2
agent_attributed,polkadot-cloud/polkadot-staking-dashboard,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,port-labs/ocean,1,2,0,0,2.0,0.0,0.0,python,1,0,0
agent_attributed,prebid/Prebid.js,47,2,10,7,0.043,0.213,0.149,"javascript,typescript",0,46,1
agent_attributed,promptfoo/promptfoo,6,0,0,0,0.0,0.0,0.0,typescript,0,0,6
agent_attributed,rcourtman/Pulse,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,remotion-dev/remotion,2,0,1,0,0.0,0.5,0.0,typescript,0,0,2
agent_attributed,robinp7720/Oblecto,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,ruvnet/claude-flow,3,2,18,4,0.667,6.0,1.333,"javascript,typescript",0,2,1
agent_attributed,sam-goodwin/alchemy,1,0,1,0,0.0,1.0,0.0,typescript,0,0,1
agent_attributed,selfxyz/self,3,0,0,0,0.0,0.0,0.0,typescript,0,0,3
agent_attributed,shinnku-nikaidou/shinnku-com,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,siteboon/claudecodeui,1,7,5,1,7.0,5.0,1.0,javascript,0,1,0
agent_attributed,skypilot-org/skypilot,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,sobester/ADRpy,2,0,0,0,0.0,0.0,0.0,python,2,0,0
agent_attributed,stack-auth/stack-auth,3,0,0,0,0.0,0.0,0.0,typescript,0,0,3
agent_attributed,stair-lab/kg-gen,1,0,1,0,0.0,1.0,0.0,python,1,0,0
agent_attributed,stanford-crfm/haliax,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,stanford-crfm/levanter,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,static-frame/static-frame,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,sugyan/claude-code-webui,1,2,3,0,2.0,3.0,0.0,typescript,0,0,1
agent_attributed,tech-systems/panes,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,tegnike/aituber-kit,3,0,0,0,0.0,0.0,0.0,typescript,0,0,3
agent_attributed,test-zeus-ai/testzeus-hercules,1,1,1,0,1.0,1.0,0.0,python,1,0,0
agent_attributed,theopenco/llmgateway,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,tokens-studio/figma-plugin,3,0,0,0,0.0,0.0,0.0,"javascript,typescript",0,1,2
agent_attributed,typedef-ai/fenic,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,unbug/codelf,1,2,1,1,2.0,1.0,1.0,javascript,0,1,0
agent_attributed,vltpkg/vltpkg,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,zenml-io/zenml-projects,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,zwave-js/zwave-js,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
human_control,567-labs/instructor,5,2,1,0,0.4,0.2,0.0,python,5,0,0
human_control,BeehiveInnovations/zen-mcp-server,1,0,0,0,0.0,0.0,0.0,python,1,0,0
human_control,BerriAI/litellm,1,0,0,0,0.0,0.0,0.0,python,1,0,0
human_control,JhumanJ/OpnForm,2,1,2,0,0.5,1.0,0.0,javascript,0,2,0
human_control,bmadcode/BMAD-METHOD,1,2,2,0,2.0,2.0,0.0,javascript,0,1,0
human_control,different-ai/note-companion,1,1,0,0,1.0,0.0,0.0,javascript,0,1,0
human_control,getsentry/sentry,6,0,0,0,0.0,0.0,0.0,typescript,0,0,6
human_control,getsentry/sentry-javascript,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
human_control,julep-ai/julep,90,10,4,4,0.111,0.044,0.044,python,90,0,0
human_control,langfuse/langfuse,4,0,12,0,0.0,3.0,0.0,typescript,0,0,4
human_control,leonardsellem/n8n-mcp-server,3,5,4,2,1.667,1.333,0.667,javascript,0,3,0
human_control,mediar-ai/terminator,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
human_control,microsoft/typescript-go,18,0,10,0,0.0,0.556,0.0,javascript,0,18,0
human_control,mrwadams/stride-gpt,3,0,0,0,0.0,0.0,0.0,python,3,0,0
human_control,novuhq/novu,47,2,17,5,0.043,0.362,0.106,typescript,0,0,47
human_control,onlook-dev/onlook,1,22,2,1,22.0,2.0,1.0,typescript,0,0,1
human_control,openai/codex,3,5,2,0,1.667,0.667,0.0,javascript,0,3,0
human_control,oven-sh/bun,75,10,98,0,0.133,1.307,0.0,"javascript,typescript",0,34,41
human_control,prebid/Prebid.js,22,0,12,11,0.0,0.545,0.5,javascript,0,22,0
human_control,theturtle32/WebSocket-Node,11,1,28,0,0.091,2.545,0.0,javascript,0,11,0
human_control,traccar/traccar-web,4,0,1,0,0.0,0.25,0.0,javascript,0,4,0
